timestamp,event_id,host,user,pid,max_severity,mitre_techniques,disposition,action_taken,actions_summary
2026-07-14T12:37:29.193764+00:00,evt-001,WKSTN-042,jsmith,999901,high,T1105,auto-remediated,True,terminate_process(failed); quarantine_file(ok); block_network_ioc(ok)
2026-07-14T12:37:29.194154+00:00,evt-002,WKSTN-017,agupta,999902,critical,T1562.001,auto-remediated,True,terminate_process(failed); quarantine_file(ok)
2026-07-14T12:37:29.194371+00:00,evt-003,WKSTN-005,backup_svc,999903,none,,benign - no action,False,
2026-07-14T12:37:29.194376+00:00,evt-004,WKSTN-088,mkhan,999904,critical,T1003,auto-remediated,True,terminate_process(failed); quarantine_file(ok); block_network_ioc(ok)
2026-07-14T12:37:29.194463+00:00,evt-005,WKSTN-023,rwilliams,999905,none,,benign - no action,False,
2026-07-14T12:37:29.194467+00:00,evt-006,WKSTN-061,tnovak,999906,none,,benign - no action,False,
2026-07-14T12:37:29.194470+00:00,evt-007,WKSTN-042,jsmith,999907,high,T1027,auto-remediated,True,terminate_process(failed); quarantine_file(ok)
2026-07-14T12:37:29.194505+00:00,evt-008,WKSTN-030,svc_monitor,999908,none,,benign - no action,False,
2026-07-14T12:37:29.194509+00:00,evt-009,WKSTN-074,dcohen,999909,medium,T1562,alert only - severity 'medium' below threshold 'high',False,
2026-07-14T12:37:29.194513+00:00,evt-010,WKSTN-011,helpdesk1,999910,none,,benign - no action,False,
